dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Black,0.3966,0.8112,0.8156,0.8967,0.8961,0.813,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,Other,0.5355,0.8625,0.876,0.9261,0.9298,0.8759,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Test,XGBClassifier,White,2.3675,0.8143,1.2384,1.1074,0.8926,0.7642,0.9999,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.3541,0.8059,0.6676,0.91,0.9136,0.6678,1.0,"[3029, 579, 311, 844]",0.8131,0.6548,0.7307,0.5931,0.534,0.7307,0.8395
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Asian-Pac-Islander,0.6693,0.9002,0.7233,0.9423,0.9427,0.7214,0.9994,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Black,0.4703,0.8333,0.8287,0.9178,0.9184,0.8325,0.9997,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,Other,0.4064,0.8218,0.8684,0.8949,0.8974,0.8687,1.0,,,,,,,,
Adult Income,race,Reweighing,Test,Test,XGBClassifier,White,2.0726,0.833,1.2291,1.0859,0.9142,0.7724,0.9998,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.3077,0.8182,0.5503,0.9171,0.9204,0.563,1.0,"[3060, 548, 460, 694]",0.7883,0.5793,0.6014,0.5588,0.4387,0.6014,0.8481
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,0.764,0.938,0.8453,0.9512,0.9515,0.8432,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Black,0.3244,0.8117,0.8252,0.8777,0.8773,0.8268,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,Other,0.279,0.8108,0.597,0.9035,0.906,0.5969,1.0,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,LogisticRegression,White,2.5319,0.8272,1.2076,1.1131,0.8871,0.7949,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.2262,0.8618,0.5313,0.9613,0.9636,0.5314,0.9997,"[3302, 306, 616, 538]",0.8064,0.5385,0.4662,0.6374,0.428,0.4662,0.9152
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Asian-Pac-Islander,0.6987,0.9461,0.8996,0.9408,0.9421,0.9055,0.9995,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Black,0.0,0.8042,0.5104,0.9046,0.9047,0.5105,0.9997,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,Other,0.1367,0.8459,0.7325,0.9143,0.9144,0.7326,0.9997,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,SVC,White,6.5948,0.8288,1.3455,1.0911,0.9094,0.6528,0.9995,,,,,,,,
