dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Female,0.9539,0.9626,1.0900,0.7703,0.7703,0.9100,0.8167,0.7400,0.8267,0.6429
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,Male,1.0483,0.9626,0.9100,1.2297,0.7703,0.9100,0.8167,0.7400,0.8267,0.6429
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Female,0.9372,0.9481,1.0700,0.7703,0.7703,0.9300,0.8533,0.7500,0.8344,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,Male,1.0670,0.9481,0.9300,1.2297,0.7703,0.9300,0.8533,0.7500,0.8344,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Female,1.1366,0.9070,1.2100,0.9282,0.9282,0.7900,0.8267,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,Male,0.8798,0.9070,0.7900,1.0718,0.9282,0.7900,0.8267,0.7100,0.7943,0.6500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.3127,0.8233,1.2700,1.0191,0.9809,0.7300,0.5300,0.6000,0.6970,0.5619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.7618,0.8233,0.7300,0.9809,0.9809,0.7300,0.5300,0.6000,0.6970,0.5619
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0474,0.9649,1.1800,0.8373,0.8373,0.8200,0.7567,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9547,0.9649,0.8200,1.1627,0.8373,0.8200,0.7567,0.7700,0.8414,0.7024
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Female,0.8656,0.8948,0.9300,0.9426,0.9426,0.9300,0.6633,0.8100,0.8690,0.7500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Test,XGBClassifier,Male,1.1553,0.8948,1.0700,1.0574,0.9426,0.9300,0.6633,0.8100,0.8690,0.7500
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Female,1.1356,0.9037,1.2600,0.8230,0.8230,0.7400,0.7133,0.7000,0.7917,0.6238
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Test,XGBClassifier,Male,0.8806,0.9037,0.7400,1.1770,0.8230,0.7400,0.7133,0.7000,0.7917,0.6238
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Female,1.0919,0.9294,1.0400,1.2010,0.7990,0.9600,0.8000,0.7300,0.8188,0.6357
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,Male,0.9158,0.9294,0.9600,0.7990,0.7990,0.9600,0.8000,0.7300,0.8188,0.6357
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Female,1.1541,0.8794,1.0700,1.2919,0.7081,0.9300,0.8133,0.7400,0.8289,0.6333
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,Male,0.8665,0.8794,0.9300,0.7081,0.7081,0.9300,0.8133,0.7400,0.8289,0.6333
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Female,1.2886,0.8410,1.1200,1.3349,0.6651,0.8800,0.8167,0.7000,0.7692,0.6905
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,Male,0.7760,0.8410,0.8800,0.6651,0.6651,0.8800,0.8167,0.7000,0.7692,0.6905
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.0117,0.9925,1.0400,1.0478,0.9522,0.9600,0.6167,0.7400,0.8060,0.7190
