dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Black,0.4772,0.8913,0.9403,0.95,0.9498,0.9443,0.9992,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, Other,0.1815,0.8372,0.7925,0.9104,0.9105,0.7924,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier, White,1.7529,0.9095,1.0983,1.0341,0.9657,0.9029,0.9992,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Amer-Indian-Eskimo,0.115,0.7546,0.3826,0.8674,0.8683,0.3824,1.0,"[4118, 827, 604, 964]",0.7803,0.574,0.6148,0.5382,0.4285,"[[0.0, 0.1672396359959555, 1.0], [0.0, 0.6147959183673469, 1.0], [inf, 1.0, 0.0]]",0.7238,0.6148,0.8328
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Asian-Pac-Islander,0.7991,0.9444,0.941,0.9284,0.9286,0.9365,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Black,0.348,0.8087,0.7901,0.8774,0.8776,0.7905,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, Other,0.3443,0.8187,0.3833,0.936,0.9321,0.3832,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression, White,2.4384,0.8225,1.198,1.1195,0.8804,0.8013,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Amer-Indian-Eskimo,0.4751,0.9295,0.7859,1.0095,0.9951,0.747,0.9999,"[4694, 251, 949, 619]",0.8158,0.5078,0.3948,0.7115,0.4323,"[[0.0, 0.050758341759352885, 1.0], [0.0, 0.3947704081632653, 1.0], [inf, 1.0, 0.0]]",0.672,0.3948,0.9492
Adult Income,race,Massaging,Test,Surrogate,SVC, Asian-Pac-Islander,1.7676,0.8999,1.218,1.0399,0.958,0.7798,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Black,0.4198,0.9179,0.8969,0.9711,0.9716,0.899,0.9999,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, Other,0.2656,0.9013,0.6042,0.9882,0.9891,0.604,1.0,,,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC, White,1.4583,0.956,0.995,1.0114,0.9883,0.9942,0.9998,,,,,,,,,,
