dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,Reweighing,Test,2,False,Test,XGBClassifier,Male,1.1125,0.9238,1.0900,0.9809,0.9809,0.9100,0.7700,0.7100,0.7972,0.6405
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,1.0334,0.9729,0.9700,1.2679,0.7321,0.9700,0.8233,0.8400,0.8947,0.7524
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,0.9677,0.9729,1.0300,0.7321,0.7321,0.9700,0.8233,0.8400,0.8947,0.7524
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,SVC,Female,1.0117,0.9906,1.0100,1.1244,0.8756,0.9900,0.8500,0.8200,0.8800,0.7381
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,SVC,Male,0.9884,0.9906,0.9900,0.8756,0.8756,0.9900,0.8500,0.8200,0.8800,0.7381
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,0.7820,0.8831,0.8400,1.0622,0.9378,0.8400,0.7367,0.6600,0.7167,0.6905
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,1.2787,0.8831,1.1600,0.9378,0.9378,0.8400,0.7367,0.6600,0.7167,0.6905
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.9274,0.9495,1.0000,0.9426,0.9426,1.0000,0.6167,0.7400,0.8116,0.7000
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.0783,0.9495,1.0000,1.0574,0.9426,1.0000,0.6167,0.7400,0.8116,0.7000
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0117,0.9906,1.0100,1.1244,0.8756,0.9900,0.8333,0.8200,0.8800,0.7381
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9884,0.9906,0.9900,0.8756,0.8756,0.9900,0.8333,0.8200,0.8800,0.7381
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,0.8744,0.8981,0.9300,0.9282,0.9282,0.9300,0.8867,0.7800,0.8514,0.7000
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,1.1436,0.8981,1.0700,1.0718,0.9282,0.9300,0.8867,0.7800,0.8514,0.7000
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,SVC,Female,0.9480,0.9593,0.9500,1.0718,0.9282,0.9500,0.8933,0.7700,0.8435,0.6929
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,SVC,Male,1.0548,0.9593,1.0500,0.9282,0.9282,0.9500,0.8933,0.7700,0.8435,0.6929
