dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Female,0.529,0.987,1.0003,0.9899,0.9898,0.9994,0.9991,"[3544, 64, 1107, 47]",0.7541,0.0743,0.0407,0.4234,0.0653,"[[0.0, 0.017738359201773836, 1.0], [0.0, 0.04072790294627383, 1.0], [inf, 1.0, 0.0]]",0.5115,0.0407,0.9823
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,GaussianNB,Male,1.8904,0.987,0.9997,1.0101,0.9898,0.9994,0.9991,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Female,0.5389,0.885,1.0612,0.8995,0.8994,0.938,0.9999,"[3031, 577, 724, 430]",0.7268,0.398,0.3726,0.427,0.2232,"[[0.0, 0.15992239467849223, 1.0], [0.0, 0.37261698440207974, 1.0], [inf, 1.0, 0.0]]",0.6063,0.3726,0.8401
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,DecisionTreeClassifier,Male,1.8557,0.885,0.9388,1.1005,0.8994,0.938,0.9999,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Female,0.4178,0.8959,1.0879,0.9053,0.9054,0.9111,0.9997,"[3264, 344, 810, 344]",0.7577,0.3735,0.2981,0.5,0.2471,"[[0.0, 0.09534368070953436, 1.0], [0.0, 0.29809358752166376, 1.0], [inf, 1.0, 0.0]]",0.6014,0.2981,0.9047
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Surrogate,RandomForestClassifier,Male,2.3936,0.8959,0.9121,1.0947,0.9054,0.9111,0.9997,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Female,0.0363,0.9602,0.9053,0.9841,0.9842,0.9052,0.9999,"[7134, 83, 2122, 186]",0.7685,0.1444,0.0806,0.6914,0.1787,"[[0.0, 0.011500623527781627, 1.0], [0.0, 0.0805892547660312, 1.0], [inf, 1.0, 0.0]]",0.5345,0.0806,0.9885
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,LogisticRegression,Male,27.5333,0.9602,1.0947,1.0159,0.9842,0.9052,0.9999,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Female,0.3269,0.965,1.0931,0.9398,0.9396,0.9071,0.9999,"[6916, 301, 2224, 84]",0.7349,0.0624,0.0364,0.2182,-0.0116,"[[0.0, 0.041707080504364696, 1.0], [0.0, 0.036395147313691506, 1.0], [inf, 1.0, 0.0]]",0.4973,0.0364,0.9583
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,SVC,Male,3.0588,0.965,0.9069,1.0602,0.9396,0.9071,0.9999,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Female,0.5583,0.9875,0.9939,0.9913,0.9912,0.9928,0.9999,"[7080, 137, 2214, 94]",0.7532,0.074,0.0407,0.4069,0.0606,"[[0.0, 0.018982956907302204, 1.0], [0.0, 0.04072790294627383, 1.0], [inf, 1.0, 0.0]]",0.5109,0.0407,0.981
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,GaussianNB,Male,1.7911,0.9875,1.0061,1.0087,0.9912,0.9928,0.9999,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Female,0.5443,0.8864,1.1259,0.8895,0.8895,0.874,1.0,"[6055, 1162, 1451, 857]",0.7257,0.3961,0.3713,0.4245,0.2205,"[[0.0, 0.16100872938894278, 1.0], [0.0, 0.371317157712305, 1.0], [inf, 1.0, 0.0]]",0.6052,0.3713,0.839
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,DecisionTreeClassifier,Male,1.8371,0.8864,0.8741,1.1105,0.8895,0.874,1.0,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,RandomForestClassifier,Female,0.3719,0.8892,1.1003,0.896,0.8959,0.9014,1.0,"[6562, 655, 1630, 678]",0.7601,0.3724,0.2938,0.5086,0.2507,"[[0.0, 0.09075793265899959, 1.0], [0.0, 0.2937608318890815, 1.0], [inf, 1.0, 0.0]]",0.6015,0.2938,0.9092
Adult Income,sex,PermutationGeneticAlgorithm,Test,Surrogate,RandomForestClassifier,Male,2.689,0.8892,0.8997,1.104,0.8959,0.9014,1.0,,,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Test,XGBClassifier,Female,0.5673,0.9241,1.2493,0.9217,0.9217,0.7499,0.9996,"[3277, 331, 769, 385]",0.769,0.4118,0.3336,0.5377,0.29,"[[0.0, 0.09174057649667405, 1.0], [0.0, 0.33362218370883884, 1.0], [inf, 1.0, 0.0]]",0.6209,0.3336,0.9083
Adult Income,sex,PermutationGeneticAlgorithm,Validation,Test,XGBClassifier,Male,1.7628,0.9241,0.7507,1.0783,0.9217,0.7499,0.9996,,,,,,,,,,
