dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
German Credit,Attribute13,LGAFFS,Validation,Surrogate,SVC,Aged,1.2377,0.8308,1.1132,1.1242,0.8724,0.8868,0.9518,"[13, 17, 4, 66]",0.7593,0.8457,0.9419,0.7676,0.3608,"[[0.0, 0.5666666666666667, 1.0], [0.0, 0.9428571428571428, 1.0], [inf, 1.0, 0.0]]",0.6376,0.9419,0.3333
German Credit,Attribute13,LGAFFS,Validation,Surrogate,SVC,Young,0.8085,0.8308,0.8868,0.8758,0.8724,0.8868,0.9518,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,GaussianNB,Aged,1.3381,0.8047,1.1339,1.1072,0.8928,0.8661,0.9338,"[16, 14, 8, 62]",0.7633,0.8366,0.8686,0.8076,0.414,"[[0.0, 0.4666666666666667, 1.0], [0.0, 0.8857142857142857, 1.0], [inf, 1.0, 0.0]]",0.6932,0.8686,0.5178
German Credit,Attribute13,LGAFFS,Validation,Surrogate,GaussianNB,Young,0.7536,0.8047,0.8661,0.8928,0.8928,0.8661,0.9338,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Aged,1.2554,0.8442,1.0879,1.1275,0.7996,0.8906,0.8722,"[16, 14, 14, 56]",0.716,0.8048,0.8362,0.777,0.2881,"[[0.0, 0.4666666666666667, 1.0], [0.0, 0.8, 1.0], [inf, 1.0, 0.0]]",0.6359,0.8362,0.4355
German Credit,Attribute13,LGAFFS,Validation,Surrogate,DecisionTreeClassifier,Young,0.7995,0.8442,0.9121,0.8725,0.7996,0.8906,0.8722,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Surrogate,RandomForestClassifier,Aged,1.2752,0.8165,1.2005,1.0083,0.9453,0.7995,0.9329,"[14, 16, 6, 64]",0.776,0.8529,0.9276,0.7895,0.4194,"[[0.0, 0.5333333333333333, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6749,0.9276,0.4222
German Credit,Attribute13,LGAFFS,Validation,Surrogate,RandomForestClassifier,Young,0.7845,0.8165,0.7995,0.9917,0.9453,0.7995,0.9329,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,LogisticRegression,Aged,1.1035,0.9245,1.0171,1.1307,0.8693,0.9829,0.9033,"[11, 19, 7, 63]",0.748,0.8339,0.9038,0.7741,0.3419,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.9, 1.0], [inf, 1.0, 0.0]]",0.6441,0.9038,0.3845
German Credit,Attribute13,LGAFFS,Test,Surrogate,LogisticRegression,Young,0.9093,0.9245,0.9829,0.8693,0.8693,0.9829,0.9033,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,SVC,Aged,1.0311,0.9756,1.0291,0.9467,0.9467,0.9709,0.8949,"[15, 15, 6, 64]",0.7733,0.8496,0.9143,0.7935,0.4159,"[[0.0, 0.5, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.6793,0.9143,0.4444
German Credit,Attribute13,LGAFFS,Test,Surrogate,SVC,Young,0.9701,0.9756,0.9709,1.0533,0.9467,0.9709,0.8949,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Aged,1.7581,0.7642,1.2515,1.128,0.872,0.7485,0.9095,"[18, 12, 13, 57]",0.7407,0.8099,0.7895,0.8319,0.4042,"[[0.0, 0.4, 1.0], [0.0, 0.8142857142857143, 1.0], [inf, 1.0, 0.0]]",0.7081,0.7895,0.6267
German Credit,Attribute13,LGAFFS,Test,Surrogate,GaussianNB,Young,0.667,0.7642,0.7485,0.872,0.872,0.7485,0.9095,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Aged,1.2959,0.838,1.1388,1.1547,0.8133,0.8573,0.8736,"[11, 19, 17, 53]",0.6967,0.7843,0.7876,0.7815,0.2732,"[[0.0, 0.6333333333333333, 1.0], [0.0, 0.7571428571428571, 1.0], [inf, 1.0, 0.0]]",0.636,0.7876,0.4845
German Credit,Attribute13,LGAFFS,Test,Surrogate,DecisionTreeClassifier,Young,0.7788,0.838,0.8612,0.8453,0.8133,0.8573,0.8736,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Aged,1.1653,0.8932,1.1589,0.9333,0.8693,0.8411,0.8962,"[15, 15, 10, 60]",0.7613,0.8386,0.8867,0.7958,0.3946,"[[0.0, 0.5, 1.0], [0.0, 0.8571428571428571, 1.0], [inf, 1.0, 0.0]]",0.6778,0.8867,0.4689
German Credit,Attribute13,LGAFFS,Test,Surrogate,RandomForestClassifier,Young,0.8687,0.8932,0.8411,1.0667,0.8693,0.8411,0.8962,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Aged,1.1673,0.8871,1.1081,0.9089,0.8857,0.8919,0.9309,"[17, 13, 6, 64]",0.7853,0.8562,0.9124,0.8068,0.4527,"[[0.0, 0.43333333333333335, 1.0], [0.0, 0.9142857142857143, 1.0], [inf, 1.0, 0.0]]",0.7006,0.9124,0.4889
German Credit,Attribute13,LGAFFS,Validation,Test,XGBClassifier,Young,0.8775,0.8871,0.8919,1.0911,0.8857,0.8919,0.9309,,,,,,,,,,
German Credit,Attribute13,LGAFFS,Test,Test,XGBClassifier,Aged,1.0859,0.9278,1.1451,0.832,0.832,0.8549,0.8865,"[12, 18, 11, 59]",0.7307,0.8159,0.8524,0.7829,0.3213,"[[0.0, 0.6, 1.0], [0.0, 0.8428571428571429, 1.0], [inf, 1.0, 0.0]]",0.6495,0.8524,0.4467
German Credit,Attribute13,LGAFFS,Test,Test,XGBClassifier,Young,0.9296,0.9278,0.8549,1.168,0.832,0.8549,0.8865,,,,,,,,,,
