dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,GaussianNB,Aged,1.8529,0.6588,1.3625,1.1250,0.8750,0.6375,0.7967,0.8300,0.8777,0.8024
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,GaussianNB,Young,0.5397,0.6588,0.6375,0.8750,0.8750,0.6375,0.7967,0.8300,0.8777,0.8024
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,DecisionTreeClassifier,Aged,1.0588,0.9608,0.9271,1.2083,0.7917,0.9271,0.6433,0.6000,0.7143,0.5238
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,DecisionTreeClassifier,Young,0.9444,0.9608,1.0729,0.7917,0.7917,0.9271,0.6433,0.6000,0.7143,0.5238
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,RandomForestClassifier,Aged,1.3333,0.8000,1.2350,1.0417,0.9583,0.7650,0.8233,0.7500,0.8299,0.6690
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Surrogate,RandomForestClassifier,Young,0.7500,0.8000,0.7650,0.9583,0.9583,0.7650,0.8233,0.7500,0.8299,0.6690
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,LogisticRegression,Aged,1.4118,0.7529,1.2514,1.1667,0.8333,0.7486,0.8333,0.7300,0.8212,0.6262
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,LogisticRegression,Young,0.7083,0.7529,0.7486,0.8333,0.8333,0.7486,0.8333,0.7300,0.8212,0.6262
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,SVC,Aged,1.2529,0.8314,1.1075,1.2083,0.7917,0.8925,0.8100,0.7100,0.8079,0.6024
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,SVC,Young,0.7981,0.8314,0.8925,0.7917,0.7917,0.8925,0.8100,0.7100,0.8079,0.6024
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,GaussianNB,Aged,3.1765,0.5647,1.3716,1.4583,0.5417,0.6284,0.7767,0.6500,0.7244,0.6452
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,GaussianNB,Young,0.3148,0.5647,0.6284,0.5417,0.5417,0.6284,0.7767,0.6500,0.7244,0.6452
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,DecisionTreeClassifier,Aged,1.1961,0.8824,1.2149,0.9167,0.9167,0.7851,0.6067,0.6400,0.7429,0.5714
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,DecisionTreeClassifier,Young,0.8361,0.8824,0.7851,1.0833,0.9167,0.7851,0.6067,0.6400,0.7429,0.5714
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,RandomForestClassifier,Aged,1.1070,0.9216,0.9964,1.1250,0.8750,0.9964,0.7633,0.7400,0.8267,0.6429
German Credit,Attribute13,NA,FairGenes,Test,0,False,Surrogate,RandomForestClassifier,Young,0.9034,0.9216,1.0036,0.8750,0.8750,0.9964,0.7633,0.7400,0.8267,0.6429
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Test,XGBClassifier,Aged,1.4559,0.7569,1.2186,1.1667,0.8333,0.7814,0.7400,0.7600,0.8333,0.6952
German Credit,Attribute13,NA,FairGenes,Validation,0,False,Test,XGBClassifier,Young,0.6869,0.7569,0.7814,0.8333,0.8333,0.7814,0.7400,0.7600,0.8333,0.6952
German Credit,Attribute13,NA,FairGenes,Test,0,False,Test,XGBClassifier,Aged,1.1294,0.9137,1.0747,1.0000,1.0000,0.9253,0.7400,0.7400,0.8194,0.6714
German Credit,Attribute13,NA,FairGenes,Test,0,False,Test,XGBClassifier,Young,0.8854,0.9137,0.9253,1.0000,1.0000,0.9253,0.7400,0.7400,0.8194,0.6714
