dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,GaussianNB,White,inf,1.4238,0.3731,1.9513,1.9518,0.3737,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,216628.184,0.4258,0.0011,0.5519,0.5096,0.0012,0.0,"[7194, 23, 2307, 1]",1.8022,29.8331,29.9103,27.2178,31.3846,"[[0.0, 0.003186919772758764, 1.0], [0.0, 0.0004332755632582322, 1.0], [inf, 1.0, 0.0]]",7.5413,29.9103,0.0015
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,40793.4552,0.0706,0.0096,0.1097,0.1035,0.0105,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,DecisionTreeClassifier,Black,29.0513,0.0003,0.0001,0.0004,0.0004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,DecisionTreeClassifier,Other,30.1569,0.0016,0.047,0.0012,0.0009,0.0278,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,DecisionTreeClassifier,White,29.2696,0.0098,0.002,0.0123,0.0124,0.0022,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.4614,0.001,0.0935,0.0003,0.0009,0.0941,0.0,"[6904, 313, 2178, 130]",2.0505,24.6595,26.7576,15.0587,28.4932,"[[0.0, 0.04336982125536927, 1.0], [0.0, 0.05632582322357019, 1.0], [inf, 1.0, 0.0]]",7.3132,26.7576,0.0559
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,427.1363,0.729,0.9449,0.6488,0.6443,0.9369,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,RandomForestClassifier,Black,2.2317,0.0051,0.0011,0.0055,0.0053,0.0007,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,RandomForestClassifier,Other,21.9552,0.0469,0.0931,0.0903,0.1048,0.0938,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Surrogate,RandomForestClassifier,White,5.3557,0.0278,0.1179,0.0202,0.0199,0.1201,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,36.8344,0.0129,0.0009,0.0168,0.0179,0.0009,0.0,"[3600, 8, 1150, 4]",1.7886,29.5203,29.7495,13.6286,29.4827,"[[0.0, 0.0022172949002217295, 1.0], [0.0, 0.0034662045060658577, 1.0], [inf, 1.0, 0.0]]",7.4941,29.7495,0.0023
Adult Income,race,AIF360LearningFairRepresentations,Validation,Test,XGBClassifier,Asian-Pac-Islander,137577.164,0.0996,0.1704,0.0658,0.0709,0.187,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Test,XGBClassifier,Black,0.7989,0.0001,0.0004,0.0002,0.0002,0.0004,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Test,XGBClassifier,Other,48.679,0.0315,0.4165,0.0137,0.0148,0.4164,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Test,XGBClassifier,White,26.2913,0.0062,0.0288,0.0037,0.0035,0.0305,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Test,XGBClassifier,Amer-Indian-Eskimo,33.9031,0.0067,0.0004,0.0083,0.0078,0.0004,0.0,"[7197, 20, 2303, 5]",1.7978,29.6924,29.8384,19.3493,30.4189,"[[0.0, 0.002771234585007621, 1.0], [0.0, 0.002166377816291161, 1.0], [inf, 1.0, 0.0]]",7.522,29.8384,0.0021
Adult Income,race,AIF360LearningFairRepresentations,Test,Test,XGBClassifier,Asian-Pac-Islander,18713.7788,0.0471,0.0724,0.0307,0.0335,0.0787,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Test,XGBClassifier,Black,2.3779,0.0002,0.0013,0.0003,0.0003,0.0015,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Test,XGBClassifier,Other,29.131,0.0004,0.0004,0.0005,0.0008,0.0004,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Test,Test,XGBClassifier,White,21.8607,0.0026,0.0156,0.0009,0.0011,0.0171,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,6.9004,0.0606,0.0045,0.05,0.0427,0.0046,0.0,"[3171, 437, 1140, 14]",3.2873,28.9488,29.2672,28.1398,40.3028,"[[0.0, 0.12111973392461198, 1.0], [0.0, 0.012131715771230503, 1.0], [inf, 1.0, 0.0]]",9.2189,29.2672,0.4391
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,122.2415,0.9721,0.258,1.3891,1.4072,0.2849,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,LogisticRegression,Black,3.1102,0.0262,0.0203,0.0057,0.006,0.0227,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,LogisticRegression,Other,88.7666,0.7717,0.0045,0.889,0.8688,0.0046,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,LogisticRegression,White,6.9909,0.1824,0.0882,0.1473,0.1485,0.0832,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3608, 0, 1154, 0]",1.7607,30.0,30.0,30.0,30.0,"[[0.0, 1.0], [0.0, 1.0], [inf, 0.0]]",7.5,30.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,SVC,Asian-Pac-Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,SVC,Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,SVC,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,SVC,White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,7.8169,5.686,10.2449,4.9155,5.0023,9.392,0.0,"[600, 3008, 122, 1032]",12.9846,10.8975,0.332,16.6385,25.8283,"[[0.0, 0.8337028824833703, 1.0], [0.0, 0.8942807625649913, 1.0], [inf, 1.0, 0.0]]",6.6235,0.332,20.8976
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,27.7978,21.2714,24.4739,20.2714,20.1937,24.4059,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,GaussianNB,Black,28.7418,25.1966,26.4832,24.9896,25.0007,26.4884,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,GaussianNB,Other,21.7248,15.8733,23.727,14.5167,14.2779,23.7322,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,GaussianNB,White,8505.1585,25.6999,27.3644,25.4421,25.4259,27.2907,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,AIF360LearningFairRepresentations,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,19.4217,0.9711,2.7406,0.6519,0.6322,2.7406,0.0,"[2901, 707, 803, 351]",3.0337,14.3277,14.893,13.7005,24.1073,"[[0.0, 0.19595343680709534, 1.0], [0.0, 0.304159445407279, 1.0], [inf, 1.0, 0.0]]",6.0588,14.893,1.1392
