algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Reweighing,RandomForestClassifier,White,1.4294,0.9336,0.0146,-0.0321,0.9682,0.9841,0.9393,"[6473, 726, 1052, 1273]",0.814,0.5919,0.5524,0.6375,0.4743,0.5524,0.8985
Reweighing,XGBClassifier,White,1.6921,0.9128,-0.0988,-0.0277,0.9727,0.9021,0.9613,"[9936, 854, 1481, 2016]",0.8366,0.6333,0.5765,0.7024,0.5337,0.5765,0.9209
DIR,RandomForestClassifier,Amer-Indian-Eskimo,0.6121,0.9357,0.2334,-0.0019,0.9917,0.781,0.9472,"[6711, 488, 1279, 1046]",0.8159,0.5502,0.4612,0.6819,0.4532,0.4612,0.9305
DIR,XGBClassifier,Amer-Indian-Eskimo,0.8586,0.9819,-0.0092,-0.0169,0.9848,0.9865,0.9671,"[10278, 512, 2184, 1313]",0.8113,0.4934,0.3755,0.7195,0.4225,0.3755,0.9525
DIR,RandomForestClassifier,Asian-Pac-Islander,1.3264,0.9312,-0.0384,-0.023,0.9758,0.9614,0.9499,"[6452, 747, 1012, 1313]",0.8162,0.5984,0.5609,0.6413,0.4818,0.5609,0.8986
DIR,XGBClassifier,Asian-Pac-Islander,0.947,0.9873,0.075,0.0126,0.986,0.9316,0.9643,"[9543, 1247, 1323, 2174]",0.8201,0.6285,0.6217,0.6355,0.5099,0.6217,0.8844
DIR,RandomForestClassifier,Black,0.4513,0.8887,0.0551,0.0486,0.9512,0.9455,0.9466,"[6557, 642, 1083, 1242]",0.8173,0.5811,0.5193,0.6598,0.4719,0.5193,0.9135
DIR,XGBClassifier,Black,0.4558,0.8775,0.1366,0.0498,0.9506,0.8637,0.9608,"[9772, 1018, 1464, 2033]",0.8263,0.621,0.5814,0.6663,0.5109,0.5814,0.9057
DIR,RandomForestClassifier,Other,0.343,0.8731,0.0694,0.0436,0.9584,0.9306,0.9466,"[6557, 642, 1083, 1242]",0.8173,0.5811,0.5193,0.6598,0.4719,0.5193,0.9135
DIR,XGBClassifier,Other,0.4486,0.926,0.0601,0.0332,0.9683,0.9257,0.9675,"[10140, 650, 2239, 1258]",0.7978,0.4655,0.3597,0.6593,0.3785,0.3597,0.9398
DIR,RandomForestClassifier,White,1.5326,0.9236,-0.0148,-0.0375,0.9625,0.9832,0.9455,"[6491, 708, 1027, 1298]",0.8156,0.5932,0.5506,0.6429,0.4773,0.5506,0.9012
DIR,XGBClassifier,White,1.713,0.9031,-0.0902,-0.0405,0.9599,0.9107,0.9598,"[9756, 1034, 1401, 2096]",0.8296,0.6326,0.5994,0.6696,0.5234,0.5994,0.9042
LFR,RandomForestClassifier,Amer-Indian-Eskimo,1.8648,0.9758,-0.0125,-0.0079,0.9778,0.9728,0.9876,"[2712, 4487, 1556, 769]",0.7306,0.0524,0.0533,0.0817,0.0012,0.0533,0.9493
LFR,XGBClassifier,Amer-Indian-Eskimo,1.1269,0.9384,0.038,0.0252,0.9448,0.9286,0.9928,"[7994, 2796, 3212, 285]",0.7255,0.0498,0.0555,0.0799,-0.0066,0.0555,0.9426
