dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,Black,0.3943,0.8098,0.8386,0.8822,0.8818,0.8405,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,Other,0.782,0.9354,0.9119,1.0127,0.9939,0.9122,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,White,1.9919,0.8414,1.1365,1.0997,0.9003,0.8619,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.4749,0.8471,0.9058,0.8693,0.8741,0.9061,1.0,"[2798, 810, 585, 570]",0.7071,0.4497,0.4935,0.413,0.2542,0.4935,0.7755
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.0297,0.9914,1.0445,0.9842,0.9845,0.9534,0.9997,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,Black,0.8225,0.9477,0.8909,0.9963,0.9962,0.8943,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,Other,1.223,0.9355,0.9058,1.1289,0.8704,0.9061,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,DecisionTreeClassifier,White,1.1669,0.9577,1.0482,1.0068,0.9927,0.9495,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.7153,0.928,1.0756,0.9536,0.9596,0.9243,0.9999,"[3013, 595, 549, 606]",0.7598,0.5144,0.5247,0.5046,0.3551,0.5247,0.8351
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.7693,0.9414,0.9363,0.9285,0.9282,0.9346,0.9997,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Black,0.8134,0.9521,0.8227,1.0258,0.9736,0.8239,1.0,,,,,,,,
