dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.7559,0.8125,0.84,0.8373,0.8373,0.84,0.85,0.73,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.3229,0.8125,1.16,1.1627,0.8373,0.84,0.85,0.73,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.6983,0.777,0.73,0.9282,0.9282,0.73,0.6467,0.67,0.7591,0.6214
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.4321,0.777,1.27,1.0718,0.9282,0.73,0.6467,0.67,0.7591,0.6214
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.7298,0.7611,0.84,0.6794,0.6794,0.84,0.8233,0.77,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.3703,0.7611,1.16,1.3206,0.6794,0.84,0.8233,0.77,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.97,0.8086,0.8086,0.97,0.8167,0.71,0.8079,0.6024
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.133,0.9014,1.03,1.1914,0.8086,0.97,0.8167,0.71,0.8079,0.6024
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Female,0.921,0.9336,0.97,0.8995,0.8995,0.97,0.8233,0.7,0.8026,0.5857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,1.0857,0.9336,1.03,1.1005,0.8995,0.97,0.8233,0.7,0.8026,0.5857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Female,0.7742,0.8495,0.76,1.0718,0.9282,0.76,0.74,0.62,0.7121,0.5857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,1.2917,0.8495,1.24,0.9282,0.9282,0.76,0.74,0.62,0.7121,0.5857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,0.7277,0.7948,0.8,0.823,0.823,0.8,0.7067,0.65,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.3743,0.7948,1.2,1.177,0.823,0.8,0.7067,0.65,0.7482,0.5881
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,0.921,0.9336,0.95,0.9522,0.9522,0.95,0.83,0.72,0.8158,0.6095
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,1.0857,0.9336,1.05,1.0478,0.9522,0.95,0.83,0.72,0.8158,0.6095
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,Female,0.5473,0.5998,0.59,0.6794,0.6794,0.59,0.7667,0.72,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.8271,0.5998,1.41,1.3206,0.6794,0.59,0.7667,0.72,0.8082,0.6381
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,Female,0.7689,0.8158,0.86,0.7703,0.7703,0.86,0.7033,0.68,0.7778,0.6
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,Male,1.3005,0.8158,1.14,1.2297,0.7703,0.86,0.7033,0.68,0.7778,0.6
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,0.7298,0.7611,0.83,0.6651,0.6651,0.83,0.8333,0.71,0.8079,0.6024
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,1.3703,0.7611,1.17,1.3349,0.6651,0.83,0.8333,0.71,0.8079,0.6024
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Female,0.7898,0.8111,0.89,0.7177,0.7177,0.89,0.89,0.76,0.8442,0.6476
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Male,1.2661,0.8111,1.11,1.2823,0.7177,0.89,0.89,0.76,0.8442,0.6476
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,0.8013,0.856,0.88,0.89,0.89,0.88,0.8267,0.72,0.7971,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,1.248,0.856,1.12,1.11,0.89,0.88,0.8267,0.72,0.7971,0.6762
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.7705,0.827,0.85,0.823,0.823,0.85,0.6467,0.66,0.7571,0.5952
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.2979,0.827,1.15,1.177,0.823,0.85,0.6467,0.66,0.7571,0.5952
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.781,0.8191,0.88,0.7847,0.7847,0.88,0.7967,0.77,0.8435,0.6929
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.2804,0.8191,1.12,1.2153,0.7847,0.88,0.7967,0.77,0.8435,0.6929
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,1.0701,0.9472,1.08,1.0574,0.9426,0.92,0.7467,0.71,0.8027,0.6214
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,0.9345,0.9472,0.92,0.9426,0.9426,0.92,0.7467,0.71,0.8027,0.6214
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,1.1557,0.8827,1.15,1.0957,0.9043,0.85,0.8,0.69,0.7919,0.5881
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Male,0.8653,0.8827,0.85,0.9043,0.9043,0.85,0.8,0.69,0.7919,0.5881
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,0.946,0.9687,0.89,1.177,0.823,0.89,0.7033,0.61,0.6929,0.5976
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,1.0571,0.9687,1.11,0.823,0.823,0.89,0.7033,0.61,0.6929,0.5976
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.2097,0.8602,1.17,1.0957,0.9043,0.83,0.6233,0.61,0.7234,0.531
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,0.8267,0.8602,0.83,0.9043,0.9043,0.83,0.6233,0.61,0.7234,0.531
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,1.0079,0.9939,1.05,0.9522,0.9522,0.95,0.7767,0.67,0.7755,0.5738
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,0.9921,0.9939,0.95,1.0478,0.9522,0.95,0.7767,0.67,0.7755,0.5738
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Female,0.6475,0.719,0.75,0.7464,0.7464,0.75,0.7333,0.75,0.8227,0.6976
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Male,1.5444,0.719,1.25,1.2536,0.7464,0.75,0.7333,0.75,0.8227,0.6976
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Female,0.8561,0.8915,0.88,0.9665,0.9665,0.88,0.6967,0.68,0.7746,0.6095
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Male,1.1681,0.8915,1.12,1.0335,0.9665,0.88,0.6967,0.68,0.7746,0.6095
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Female,0.718,0.7466,0.81,0.6651,0.6651,0.81,0.85,0.72,0.8158,0.6095
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Male,1.3928,0.7466,1.19,1.3349,0.6651,0.81,0.85,0.72,0.8158,0.6095
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Female,0.8161,0.8401,0.93,0.7177,0.7177,0.93,0.8667,0.74,0.8289,0.6333
