dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,Male,0.3032048999999999,0.1444506499999999,0.1371999999999999,0.78017124,0.78017124,0.1371999999999999,0.78431691,0.7762962962962964,0.850851851851852,0.6853555555555554
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,2.03239588,0.47964273,0.4439999999999999,0.5779173700000002,0.57791737,0.444,1.50099891,0.7351851851851853,0.7987111111111111,0.7201962962962964
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.4013370799999996,0.4316899999999999,0.4912999999999999,1.04786532,1.04786532,0.4913000000000002,3.1524437999999995,0.6888888888888888,0.7751666666666666,0.6359777777777778
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.5272570700000001,0.25580922,0.1755,0.6642020200000002,0.66420202,0.1755,1.14154002,0.7718518518518519,0.8467740740740742,0.6842999999999998
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.1899656000000003,0.4486064900000001,0.2494,1.6498728400000002,1.64987284,0.2493999999999999,0.9280735799999998,0.7503703703703702,0.8308962962962965,0.6661407407407409
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,Male,0.6557206700000002,0.27914839,0.2492,1.0002667899999995,1.0002667899999995,0.2491999999999999,0.8311418,0.7544444444444446,0.8349148148148148,0.6662185185185185
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,Male,3.59353823,0.58544926,0.5807999999999999,0.8584592400000003,0.85845924,0.5808000000000001,1.53781713,0.7244444444444444,0.7896777777777779,0.7132296296296295
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.68830466,0.49911131,0.5925000000000001,1.0892263999999998,1.0892263999999998,0.5924999999999998,3.40810913,0.6922222222222223,0.7776740740740742,0.639411111111111
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,0.4732133100000002,0.20998644,0.2303,0.69110327,0.6911032699999998,0.2302999999999999,1.3285900200000007,0.768888888888889,0.8430444444444443,0.6902999999999999
German Credit,Attribute9,Male,Massaging,Validation,1,False,Test,XGBClassifier,Male,1.2956049799999996,0.41711038,0.4293999999999999,0.8142543400000001,0.81425434,0.4294000000000001,1.95655202,0.7588888888888891,0.8337925925925925,0.6873962962962964
