dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,1.0717,0.9439,1.1400,0.9665,0.9665,0.8600,0.8567,0.7600,0.8400,0.6667
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,0.9331,0.9439,0.8600,1.0335,0.9665,0.8600,0.8567,0.7600,0.8400,0.6667
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Female,0.8133,0.8593,0.8200,1.0335,0.9665,0.8200,0.8067,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,Male,1.2296,0.8593,1.1800,0.9665,0.9665,0.8200,0.8067,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Female,0.9348,0.9528,1.1200,0.6938,0.6938,0.8800,0.7967,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,Male,1.0697,0.9528,0.8800,1.3062,0.6938,0.8800,0.7967,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.9800,0.8230,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.1330,0.9014,1.0200,1.1770,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Female,0.9054,0.9191,0.9600,0.9139,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Male,1.1045,0.9191,1.0400,1.0861,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,0.9085,0.9350,0.8600,1.1770,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,1.1007,0.9350,1.1400,0.8230,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,1.2647,0.8312,1.0600,1.4498,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,0.7907,0.8312,0.9400,0.5502,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.9892,0.9916,0.9800,1.1244,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,1.0109,0.9916,1.0200,0.8756,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Female,1.0273,0.9794,1.1800,0.7847,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,0.9734,0.9794,0.8200,1.2153,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Female,1.0334,0.9729,1.1200,0.9139,0.9139,0.8800,0.8867,0.7600,0.8421,0.6571
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,0.9677,0.9729,0.8800,1.0861,0.9139,0.8800,0.8867,0.7600,0.8421,0.6571
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Female,1.1685,0.9023,1.1700,1.0478,0.9522,0.8300,0.8833,0.7100,0.7786,0.6976
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,0.8558,0.9023,0.8300,0.9522,0.9522,0.8300,0.8833,0.7100,0.7786,0.6976
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Female,1.2941,0.8167,1.2900,1.0191,0.9809,0.7100,0.7267,0.6600,0.7536,0.6048
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,0.7728,0.8167,0.7100,0.9809,0.9809,0.7100,0.7267,0.6600,0.7536,0.6048
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Female,1.0717,0.9439,1.1400,0.9665,0.9665,0.8600,0.8567,0.7600,0.8400,0.6667
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,0.9331,0.9439,0.8600,1.0335,0.9665,0.8600,0.8567,0.7600,0.8400,0.6667
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Female,0.8133,0.8593,0.8200,1.0335,0.9665,0.8200,0.8067,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,Male,1.2296,0.8593,1.1800,0.9665,0.9665,0.8200,0.8067,0.7500,0.8227,0.6976
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Female,0.9348,0.9528,1.1200,0.6938,0.6938,0.8800,0.7967,0.7300,0.8085,0.6738
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,Male,1.0697,0.9528,0.8800,1.3062,0.6938,0.8800,0.7967,0.7300,0.8085,0.6738
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,1.0919,0.9294,1.0200,1.2536,0.7464,0.9800,0.8700,0.7500,0.8322,0.6595
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Male,0.9158,0.9294,0.9800,0.7464,0.7464,0.9800,0.8700,0.7500,0.8322,0.6595
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Female,1.0927,0.9261,1.0000,1.2919,0.7081,1.0000,0.8900,0.7400,0.8289,0.6333
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Male,0.9152,0.9261,1.0000,0.7081,0.7081,1.0000,0.8900,0.7400,0.8289,0.6333
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,1.0419,0.9715,1.0000,1.1770,0.8230,1.0000,0.8567,0.7300,0.8058,0.6833
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Male,0.9598,0.9715,1.0000,0.8230,0.8230,1.0000,0.8567,0.7300,0.8058,0.6833
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.1356,0.9037,1.0000,1.3445,0.6555,1.0000,0.8133,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.8806,0.9037,1.0000,0.6555,0.6555,1.0000,0.8133,0.6800,0.7778,0.6000
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.0079,0.9939,1.0000,1.1244,0.8756,1.0000,0.8600,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.9921,0.9939,1.0000,0.8756,0.8756,1.0000,0.8600,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,1.2647,0.8312,1.2800,1.0335,0.9665,0.7200,0.9033,0.7300,0.8058,0.6833
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Male,0.7907,0.8312,0.7200,0.9665,0.9665,0.7200,0.9033,0.7300,0.8058,0.6833
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,1.1347,0.9004,1.2000,0.9665,0.9665,0.8000,0.8967,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Male,0.8813,0.9004,0.8000,1.0335,0.9665,0.8000,0.8967,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,1.3836,0.7943,1.3300,1.0478,0.9522,0.6700,0.8600,0.7000,0.7692,0.6905
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Male,0.7227,0.7943,0.6700,0.9522,0.9522,0.6700,0.8600,0.7000,0.7692,0.6905
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.8903,0.9205,0.9200,0.9665,0.9665,0.9200,0.7233,0.6600,0.7571,0.5952
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.1232,0.9205,1.0800,1.0335,0.9665,0.9200,0.7233,0.6600,0.7571,0.5952
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,1.1347,0.9004,1.2000,0.9665,0.9665,0.8000,0.8267,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Male,0.8813,0.9004,0.8000,1.0335,0.9665,0.8000,0.8267,0.7300,0.8163,0.6452
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Target,XGBClassifier,Female,1.0239,0.9827,0.9900,1.1770,0.8230,0.9900,0.8267,0.7700,0.8392,0.7119
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Target,XGBClassifier,Male,0.9767,0.9827,1.0100,0.8230,0.8230,0.9900,0.8267,0.7700,0.8392,0.7119
German Credit,Attribute9,Female,Reweighing,Test,1,False,Target,XGBClassifier,Female,1.0202,0.9860,1.1400,0.8373,0.8373,0.8600,0.7867,0.7200,0.8000,0.6667
